,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target_Graduate
0,0.0,0.4117647058823529,0.5555555555555556,0.0625,1,0.0,0.0,0.42857142857142855,0.2727272727272727,0.16129032258064516,0.2,1,0,0,1,1,0,0.05660377358490565,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.3333333333333333,0.7142857142857142,0
1,0.0,0.2941176470588235,0.1111111111111111,0.625,1,0.0,0.0,0.0,0.06060606060606061,0.0967741935483871,0.06666666666666667,1,0,0,0,1,0,0.037735849056603765,0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.7777777777777777,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7222222222222222,0.0,0.6666666666666667,0.0,0.5714285714285714,1
2,0.0,0.0,0.5555555555555556,0.25,1,0.0,0.0,0.75,0.787878787878788,0.29032258064516125,0.2,1,0,0,0,1,0,0.037735849056603765,0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.3333333333333335,0.3333333333333333,0.7142857142857142,0
3,0.0,0.4117647058823529,0.2222222222222222,0.875,1,0.0,0.0,0.7857142857142857,0.787878787878788,0.16129032258064516,0.06666666666666667,1,0,0,1,0,0,0.05660377358490565,0,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7222222222222222,0.0,0.0,0.2608695652173913,0.30303030303030304,0.25,0.6666666666666666,0.0,0.22222222222222232,0.0,0.14285714285714285,1
4,0.2,0.6470588235294117,0.1111111111111111,0.125,0,0.0,0.0,0.75,0.8181818181818182,0.29032258064516125,0.2,0,0,0,1,0,0,0.5283018867924527,0,0.0,0.23076923076923078,0.2,0.19230769230769232,0.6666666666666666,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7222222222222222,0.0,0.6666666666666667,0.0,0.5714285714285714,1
5,0.2,0.6470588235294117,0.1111111111111111,1.0,0,0.6875,0.0,0.75,0.787878787878788,0.29032258064516125,0.15555555555555556,0,0,1,1,1,0,0.6226415094339623,0,0.0,0.19230769230769232,0.22222222222222224,0.19230769230769232,0.611111111111111,0.0,0.0,0.21739130434782608,0.5151515151515151,0.25,0.611111111111111,0.41666666666666663,1.0,0.0,0.5714285714285714,1
6,0.0,0.0,0.1111111111111111,0.6875,1,0.0,0.0,0.42857142857142855,0.8181818181818182,0.22580645161290322,0.22222222222222224,1,0,0,1,0,1,0.018867924528301883,0,0.0,0.2692307692307693,0.2,0.2692307692307693,0.7222222222222222,0.0,0.0,0.34782608695652173,0.24242424242424243,0.4,0.7777777777777777,0.0,0.8888888888888888,0.6666666666666666,0.0,1
7,0.0,0.47058823529411764,0.4444444444444444,0.625,1,0.0,0.0,0.75,0.787878787878788,0.29032258064516125,0.2,1,0,0,0,1,0,0.09433962264150941,0,0.0,0.19230769230769232,0.11111111111111112,0.0,0.0,0.0,0.0,0.21739130434782608,0.15151515151515152,0.0,0.0,0.0,0.8888888888888888,0.6666666666666666,0.0,0
8,0.0,0.0,0.3333333333333333,0.5625,1,0.0,0.7,0.0,0.0,0.29032258064516125,0.2,0,0,0,1,0,1,0.07547169811320753,1,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7222222222222222,0.0,0.0,0.2608695652173913,0.21212121212121213,0.30000000000000004,0.7777777777777777,0.0,1.0,0.0,0.5714285714285714,1
9,0.0,0.0,0.1111111111111111,0.5625,1,0.0,0.0,0.0,0.3939393939393939,0.12903225806451613,0.15555555555555556,1,0,1,0,0,0,0.018867924528301883,0,0.0,0.23076923076923078,0.2,0.19230769230769232,0.611111111111111,0.0,0.0,0.2608695652173913,0.42424242424242425,0.1,0.7222222222222222,0.0,0.11111111111111116,0.3333333333333333,1.0,0
10,0.0,0.0,0.1111111111111111,0.8125,1,0.0,0.0,0.7857142857142857,0.3939393939393939,0.16129032258064516,0.15555555555555556,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6666666666666666,0.0,0.0,0.2608695652173913,0.21212121212121213,0.25,0.7777777777777777,0.0,0.6666666666666667,0.0,0.5714285714285714,1
11,0.0,0.0,0.1111111111111111,0.6875,1,0.0,0.0,0.42857142857142855,0.8181818181818182,0.29032258064516125,0.2,1,0,0,1,0,1,0.018867924528301883,0,0.0,0.3076923076923077,0.17777777777777778,0.2692307692307693,0.7222222222222222,0.0,0.0,0.34782608695652173,0.24242424242424243,0.35000000000000003,0.7222222222222222,0.0,0.5555555555555556,1.0,0.42857142857142855,1
12,0.0,0.0,0.2222222222222222,0.9375,1,0.0,0.0,0.42857142857142855,0.787878787878788,0.12903225806451613,0.2,1,0,0,1,0,0,0.037735849056603765,0,0.0,0.23076923076923078,0.13333333333333333,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.5555555555555556,1.0,0.42857142857142855,0
13,0.0,0.9411764705882353,0.1111111111111111,0.625,1,0.9375,0.0,0.0,0.0,0.12903225806451613,0.15555555555555556,1,0,0,1,0,1,0.07547169811320753,0,0.0,0.23076923076923078,0.15555555555555556,0.23076923076923078,0.5555555555555556,0.0,0.0,0.2608695652173913,0.24242424242424243,0.25,0.611111111111111,0.0,0.11111111111111116,0.3333333333333333,1.0,1
14,0.0,0.0,0.1111111111111111,0.3125,1,0.0,0.0,0.7857142857142857,0.787878787878788,0.16129032258064516,0.1111111111111111,1,0,0,1,0,1,0.018867924528301883,0,0.0,0.19230769230769232,0.15555555555555556,0.15384615384615385,0.7222222222222222,0.0,0.0,0.21739130434782608,0.15151515151515152,0.25,0.6666666666666666,0.0,0.3333333333333335,0.3333333333333333,0.7142857142857142,1
15,0.0,0.0,0.1111111111111111,0.875,1,0.0,0.0,0.42857142857142855,0.787878787878788,0.29032258064516125,0.06666666666666667,1,0,0,1,0,0,0.05660377358490565,0,0.0,0.23076923076923078,0.13333333333333333,0.19230769230769232,0.7222222222222222,0.0,0.0,0.2608695652173913,0.21212121212121213,0.0,0.0,0.0,0.8888888888888888,0.6666666666666666,0.0,0
16,0.0,0.47058823529411764,0.1111111111111111,0.5625,1,0.0,0.0,0.42857142857142855,0.8181818181818182,0.16129032258064516,0.17777777777777778,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.23076923076923078,0.22222222222222224,0.038461538461538464,0.6666666666666666,0.0,0.0,0.2608695652173913,0.42424242424242425,0.1,0.611111111111111,0.0,0.3333333333333335,0.3333333333333333,0.7142857142857142,0
17,0.0,0.4117647058823529,0.2222222222222222,0.6875,1,0.0,0.0,0.42857142857142855,0.0,0.16129032258064516,0.08888888888888889,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.2692307692307693,0.17777777777777778,0.2692307692307693,0.7222222222222222,0.0,0.0,0.34782608695652173,0.24242424242424243,0.4,0.7777777777777777,0.0,0.8888888888888888,0.6666666666666666,0.0,1
18,0.0,0.0,0.1111111111111111,0.4375,1,0.0,0.0,0.07142857142857142,0.3939393939393939,0.0967741935483871,0.1111111111111111,1,0,0,1,0,0,0.05660377358490565,0,0.0,0.19230769230769232,0.17777777777777778,0.15384615384615385,0.6666666666666666,0.08333333333333333,0.0,0.21739130434782608,0.24242424242424243,0.2,0.6666666666666666,0.16666666666666666,0.3333333333333335,0.3333333333333333,0.7142857142857142,1
19,0.0,0.0,0.1111111111111111,0.9375,1,0.0,0.0,0.42857142857142855,0.3939393939393939,0.22580645161290322,0.15555555555555556,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.2692307692307693,0.15555555555555556,0.23076923076923078,0.611111111111111,0.0,0.0,0.30434782608695654,0.24242424242424243,0.30000000000000004,0.7222222222222222,0.0,1.0,0.0,0.5714285714285714,0
20,0.0,0.0,0.3333333333333333,0.0625,1,0.0,0.0,0.0,0.0,0.29032258064516125,0.17777777777777778,0,0,0,1,0,1,0.07547169811320753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.8571428571428571,1
21,0.0,0.47058823529411764,0.4444444444444444,0.75,1,0.0,0.0,0.0,0.8181818181818182,0.12903225806451613,0.15555555555555556,1,0,0,1,0,0,0.05660377358490565,0,0.0,0.2692307692307693,0.3111111111111111,0.2692307692307693,0.611111111111111,0.0,0.0,0.34782608695652173,0.2727272727272727,0.4,0.611111111111111,0.0,0.5555555555555556,1.0,0.42857142857142855,0
22,0.0,0.0,0.4444444444444444,0.6875,1,0.0,0.0,0.42857142857142855,0.3939393939393939,0.03225806451612903,0.022222222222222223,1,0,0,1,0,0,0.018867924528301883,0,0.0,0.3076923076923077,0.26666666666666666,0.2692307692307693,0.6666666666666666,0.0,0.0,0.34782608695652173,0.36363636363636365,0.35000000000000003,0.6666666666666666,0.0,0.5555555555555556,1.0,0.42857142857142855,1
23,0.0,0.0,0.4444444444444444,0.8125,1,0.0,0.0,0.0,0.8181818181818182,0.12903225806451613,0.15555555555555556,1,0,0,1,0,1,0.037735849056603765,0,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7222222222222222,0.0,0.0,0.2608695652173913,0.21212121212121213,0.30000000000000004,0.6666666666666666,0.0,0.4444444444444444,0.0,0.8571428571428571,1
24,0.0,0.0,0.1111111111111111,0.6875,1,0.0,0.0,0.42857142857142855,0.3939393939393939,0.0967741935483871,0.15555555555555556,0,0,0,1,0,0,0.037735849056603765,0,0.0,0.2692307692307693,0.17777777777777778,0.23076923076923078,0.7222222222222222,0.0,0.0,0.34782608695652173,0.2727272727272727,0.35000000000000003,0.7777777777777777,0.0,0.4444444444444444,0.0,0.8571428571428571,1
